id,upstream_path,source_kind,surface,owner_crate,milestone,priority,parity_mode,comparator_type,status,future_bucket,defer_reason,acceptance_check
py-deferred-sample-src-sinter-collection-sampler-ramp-throttled-test-py,glue/sample/src/sinter/_collection/_sampler_ramp_throttled_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-command-main-combine-test-py,glue/sample/src/sinter/_command/_main_combine_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-command-main-plot-test-py,glue/sample/src/sinter/_command/_main_plot_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-command-main-predict-test-py,glue/sample/src/sinter/_command/_main_predict_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-data-anon-task-stats-test-py,glue/sample/src/sinter/_data/_anon_task_stats_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-data-collection-options-test-py,glue/sample/src/sinter/_data/_collection_options_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-data-existing-data-test-py,glue/sample/src/sinter/_data/_existing_data_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-data-task-stats-test-py,glue/sample/src/sinter/_data/_task_stats_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-data-task-test-py,glue/sample/src/sinter/_data/_task_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-decoding-decoding-test-py,glue/sample/src/sinter/_decoding/_decoding_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-decoding-stim-then-decode-sampler-test-py,glue/sample/src/sinter/_decoding/_stim_then_decode_sampler_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-plotting-test-py,glue/sample/src/sinter/_plotting_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-predict-test-py,glue/sample/src/sinter/_predict_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-probability-util-test-py,glue/sample/src/sinter/_probability_util_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-chunk-builder-test-py,glue/stimflow/src/stimflow/_chunk/_chunk_builder_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-chunk-compiler-test-py,glue/stimflow/src/stimflow/_chunk/_chunk_compiler_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-chunk-reflow-test-py,glue/stimflow/src/stimflow/_chunk/_chunk_reflow_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-chunk-test-py,glue/stimflow/src/stimflow/_chunk/_chunk_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-code-util-test-py,glue/stimflow/src/stimflow/_chunk/_code_util_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-flow-util-test-py,glue/stimflow/src/stimflow/_chunk/_flow_util_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-patch-test-py,glue/stimflow/src/stimflow/_chunk/_patch_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-stabilizer-code-test-py,glue/stimflow/src/stimflow/_chunk/_stabilizer_code_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-chunk-weave-test-py,glue/stimflow/src/stimflow/_chunk/_weave_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-core-circuit-util-test-py,glue/stimflow/src/stimflow/_core/_circuit_util_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-core-complex-util-test-py,glue/stimflow/src/stimflow/_core/_complex_util_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-core-noise-test-py,glue/stimflow/src/stimflow/_core/_noise_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-core-pauli-map-test-py,glue/stimflow/src/stimflow/_core/_pauli_map_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-core-tile-test-py,glue/stimflow/src/stimflow/_core/_tile_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-layers-data-test-py,glue/stimflow/src/stimflow/_layers/_data_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-layers-layer-circuit-test-py,glue/stimflow/src/stimflow/_layers/_layer_circuit_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-layers-layer-feedback-test-py,glue/stimflow/src/stimflow/_layers/_layer_feedback_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-layers-layer-interact-swap-test-py,glue/stimflow/src/stimflow/_layers/_layer_interact_swap_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-layers-layer-rotation-test-py,glue/stimflow/src/stimflow/_layers/_layer_rotation_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-layers-layer-tag-test-py,glue/stimflow/src/stimflow/_layers/_layer_tag_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-layers-transpile-test-py,glue/stimflow/src/stimflow/_layers/_transpile_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-viz-3d-model-test-py,glue/stimflow/src/stimflow/_viz/_3d_model_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-viz-viz-circuit-html-test-py,glue/stimflow/src/stimflow/_viz/_viz_circuit_html_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-stimflow-src-stimflow-viz-viz-patch-svg-test-py,glue/stimflow/src/stimflow/_viz/_viz_patch_svg_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-zx-stimzx-external-stabilizer-test-py,glue/zx/stimzx/_external_stabilizer_test.py,py-test,zx,none,Future,P3,deferred,deferred,deferred,zx,ZX ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-zx-stimzx-text-diagram-parsing-test-py,glue/zx/stimzx/_text_diagram_parsing_test.py,py-test,zx,none,Future,P3,deferred,deferred,deferred,zx,ZX ecosystem deferred beyond core beta,Future ecosystem compatibility plan
cirq-integration,glue/cirq/stimcirq/_stim_to_cirq_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future Cirq integration plan
sinter-integration,glue/sample/src/sinter/_command/_main_collect_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future Sinter integration plan
stimflow-integration,glue/stimflow/src/stimflow/_core/_flow_test.py,py-test,stimflow,none,Future,P3,deferred,deferred,deferred,stimflow,StimFlow ecosystem deferred beyond core beta,Future StimFlow integration plan
zx-integration,glue/zx/stimzx/_zx_graph_solver_test.py,py-test,zx,none,Future,P3,deferred,deferred,deferred,zx,ZX ecosystem deferred beyond core beta,Future ZX integration plan
lattice-surgery-integration,glue/lattice_surgery/stimzx/_zx_graph_solver_test.py,py-test,lattice-surgery,none,Future,P3,deferred,deferred,deferred,lattice_surgery,Lattice surgery ecosystem deferred beyond core beta,Future lattice surgery plan
js-circuit,glue/javascript/circuit.test.js,js-test,js-wasm,none,Future,P3,deferred,deferred,deferred,js_wasm,JS and WASM bindings deferred beyond Rust API stabilization,Future JS WASM plan
js-pauli-string,glue/javascript/pauli_string.test.js,js-test,js-wasm,none,Future,P3,deferred,deferred,deferred,js_wasm,JS and WASM bindings deferred beyond Rust API stabilization,Future JS WASM plan
js-tableau,glue/javascript/tableau.test.js,js-test,js-wasm,none,Future,P3,deferred,deferred,deferred,js_wasm,JS and WASM bindings deferred beyond Rust API stabilization,Future JS WASM plan
js-tableau-simulator,glue/javascript/tableau_simulator.test.js,js-test,js-wasm,none,Future,P3,deferred,deferred,deferred,js_wasm,JS and WASM bindings deferred beyond Rust API stabilization,Future JS WASM plan
crumble-circuit,glue/crumble/circuit/circuit.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-base-describe-test-js,glue/crumble/base/describe.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-base-equate-test-js,glue/crumble/base/equate.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-base-obs-test-js,glue/crumble/base/obs.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-base-revision-test-js,glue/crumble/base/revision.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-base-seq-test-js,glue/crumble/base/seq.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-circuit-layer-test-js,glue/crumble/circuit/layer.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-circuit-pauli-frame-test-js,glue/crumble/circuit/pauli_frame.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-circuit-propagated-pauli-frames-test-js,glue/crumble/circuit/propagated_pauli_frames.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-draw-main-draw-test-js,glue/crumble/draw/main_draw.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-editor-editor-state-test-js,glue/crumble/editor/editor_state.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-gates-gateset-test-js,glue/crumble/gates/gateset.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-keyboard-chord-test-js,glue/crumble/keyboard/chord.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-test-generated-gate-name-list-test-js,glue/crumble/test/generated_gate_name_list.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
js-deferred-crumble-test-test-util-test-js,glue/crumble/test/test_util.test.js,js-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble browser app deferred beyond JS WASM,Future Crumble compatibility plan
snapshot-deferred-anticommuting-detslice-svg,testdata/anticommuting_detslice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-bezier-time-slice-svg,testdata/bezier_time_slice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-circuit-all-ops-3d-gltf,testdata/circuit_all_ops_3d.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-circuit-all-ops-detslice-svg,testdata/circuit_all_ops_detslice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-circuit-all-ops-timeline-svg,testdata/circuit_all_ops_timeline.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-circuit-all-ops-timeslice-svg,testdata/circuit_all_ops_timeslice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-circuit-diagram-timeline-svg-chained-loops-svg,testdata/circuit_diagram_timeline_svg_chained_loops.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-classical-feedback-gltf,testdata/classical_feedback.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-classical-feedback-svg,testdata/classical_feedback.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-colinear-detector-slice-svg,testdata/colinear_detector_slice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-collapsing-gltf,testdata/collapsing.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-collapsing-svg,testdata/collapsing.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-command-diagram-timeline-svg,testdata/command_diagram_timeline.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-command-diagram-timeline-tick0-svg,testdata/command_diagram_timeline_tick0.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-command-diagram-timeline-tick1-svg,testdata/command_diagram_timeline_tick1.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-command-diagram-timeline-tick1-3-svg,testdata/command_diagram_timeline_tick1_3.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-command-diagram-timeline-tick2-svg,testdata/command_diagram_timeline_tick2.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-detector-pseudo-targets-gltf,testdata/detector_pseudo_targets.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-detector-pseudo-targets-svg,testdata/detector_pseudo_targets.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-detslice-with-ops-surface-code-svg,testdata/detslice-with-ops_surface_code.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-empty-match-graph-gltf,testdata/empty_match_graph.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-lattice-surgery-cnot-gltf,testdata/lattice_surgery_cnot.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-lattice-surgery-cnot-svg,testdata/lattice_surgery_cnot.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-long-range-detector-svg,testdata/long_range_detector.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-match-graph-no-coords-gltf,testdata/match_graph_no_coords.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-match-graph-no-coords-svg,testdata/match_graph_no_coords.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-match-graph-repetition-code-gltf,testdata/match_graph_repetition_code.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-match-graph-repetition-code-svg,testdata/match_graph_repetition_code.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-match-graph-surface-code-gltf,testdata/match_graph_surface_code.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-match-graph-surface-code-svg,testdata/match_graph_surface_code.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-measurement-looping-gltf,testdata/measurement_looping.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-measurement-looping-svg,testdata/measurement_looping.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-noise-gates-1-gltf,testdata/noise_gates_1.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-noise-gates-1-svg,testdata/noise_gates_1.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-noise-gates-2-gltf,testdata/noise_gates_2.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-noise-gates-2-svg,testdata/noise_gates_2.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-noise-gates-3-gltf,testdata/noise_gates_3.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-noise-gates-3-svg,testdata/noise_gates_3.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-observable-slices-svg,testdata/observable_slices.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-repeat-gltf,testdata/repeat.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-repeat-svg,testdata/repeat.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-repetition-code-gltf,testdata/repetition_code.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-repetition-code-svg,testdata/repetition_code.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-rotated-memory-z-detector-slice-svg,testdata/rotated_memory_z_detector_slice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-shifted-coords-svg,testdata/shifted_coords.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-single-qubits-gates-gltf,testdata/single_qubits_gates.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-single-qubits-gates-svg,testdata/single_qubits_gates.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-surface-code-gltf,testdata/surface_code.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-surface-code-svg,testdata/surface_code.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-surface-code-full-time-detector-slice-svg,testdata/surface_code_full_time_detector_slice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-surface-code-time-detector-slice-svg,testdata/surface_code_time_detector_slice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-surface-code-time-slice-svg,testdata/surface_code_time_slice.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-svg-ids-svg,testdata/svg_ids.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-test-circuit-all-ops-gltf,testdata/test_circuit_all_ops.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-tick-gltf,testdata/tick.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-tick-svg,testdata/tick.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-two-qubits-gates-gltf,testdata/two_qubits_gates.gltf,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
snapshot-deferred-two-qubits-gates-svg,testdata/two_qubits_gates.svg,snapshot,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,Visual snapshot assets deferred until diagram support,Future diagram snapshot plan
future-python-bindings,future/python-bindings,future,python,none,Future,P3,deferred,deferred,deferred,python,Python bindings deferred until Rust CLI and API stabilize,Future Python binding plan
future-repl,future/repl,future,repl,none,Future,P3,deferred,deferred,deferred,repl,REPL is outside initial core CLI order,Future interactive CLI plan
future-gpu,future/gpu,future,gpu,none,Future,P3,deferred,deferred,deferred,gpu,GPU acceleration requires later profiling proof,Future GPU spike plan
bench-circuit,src/stim/circuit/circuit.perf.cc,perf,stim-format,stab-bench,M4,Bench,performance,benchmark,planned,,,M4 parse and print throughput benchmark
bench-gates,src/stim/gates/gates.perf.cc,perf,gate-table,stab-bench,M4,Bench,performance,benchmark,planned,,,M4 gate lookup benchmark
bench-measure-reader,src/stim/io/measure_record_reader.perf.cc,perf,result-format,stab-bench,M8,Bench,performance,benchmark,planned,,,M8 result reader throughput benchmark
bench-main,src/stim/main.perf.cc,perf,cli-entry,stab-bench,M7,Bench,performance,benchmark,planned,,,M7 CLI startup benchmark
